path,class,label,Devanagari
C:\Users\Ashim\Devnagari_dataset\1\Img_15.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_16.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_17.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_18.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_19.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_20.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_21.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_22.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_23.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_24.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_25.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_26.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_27.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_28.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_29.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_30.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_31.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_32.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_33.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_34.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_35.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_36.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_37.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_38.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_39.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_40.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_41.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_42.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_43.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_44.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_45.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_46.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_47.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_48.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_49.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_50.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_51.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_52.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_53.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_54.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_55.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_56.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_57.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_58.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_59.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_60.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_61.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_62.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_63.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_64.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_65.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_66.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_67.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_68.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_69.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_70.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_71.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_72.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_73.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_74.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_75.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_76.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_77.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_78.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_79.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_80.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_81.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_82.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_83.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_84.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_85.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_86.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_87.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_88.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_89.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_90.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_91.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_92.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_93.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_94.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_95.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_96.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_97.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_98.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_99.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_100.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_101.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_102.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_103.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_104.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_105.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_106.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_107.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_108.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_109.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_110.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_111.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_112.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_113.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_114.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_115.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_116.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_117.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_118.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_119.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_120.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_121.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_122.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_123.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_124.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_125.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_126.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_127.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_128.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_129.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_130.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_131.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_132.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_133.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_134.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_135.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_136.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_137.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_138.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_139.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_140.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_141.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_142.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_143.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_144.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_145.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_146.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_147.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_148.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_149.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_150.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_151.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_152.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_153.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_154.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_155.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_156.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_157.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_158.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_159.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_160.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_161.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_162.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_163.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_164.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_165.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_166.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_167.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_168.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_169.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_170.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_171.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_172.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_173.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_174.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_175.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_176.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_177.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_178.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_179.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_180.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_181.jpg,1,ka,à¤•
C:\Users\Ashim\Devnagari_dataset\1\Img_182.jpg,1,ka,à¤•
