,path,class,label,Devanagari
0,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_0.jpg,1,ka,à¤•
1,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_1.jpg,1,ka,à¤•
2,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_10.jpg,1,ka,à¤•
3,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_100.jpg,1,ka,à¤•
4,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_101.jpg,1,ka,à¤•
5,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_102.jpg,1,ka,à¤•
6,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_103.jpg,1,ka,à¤•
7,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_104.jpg,1,ka,à¤•
8,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_105.jpg,1,ka,à¤•
9,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_106.jpg,1,ka,à¤•
10,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_107.jpg,1,ka,à¤•
11,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_108.jpg,1,ka,à¤•
12,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_109.jpg,1,ka,à¤•
13,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_11.jpg,1,ka,à¤•
14,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_110.jpg,1,ka,à¤•
15,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_111.jpg,1,ka,à¤•
16,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_112.jpg,1,ka,à¤•
17,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_113.jpg,1,ka,à¤•
18,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_114.jpg,1,ka,à¤•
19,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_115.jpg,1,ka,à¤•
20,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_116.jpg,1,ka,à¤•
21,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_117.jpg,1,ka,à¤•
22,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_118.jpg,1,ka,à¤•
23,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_119.jpg,1,ka,à¤•
24,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_12.jpg,1,ka,à¤•
25,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_120.jpg,1,ka,à¤•
26,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_121.jpg,1,ka,à¤•
27,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_122.jpg,1,ka,à¤•
28,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_123.jpg,1,ka,à¤•
29,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_124.jpg,1,ka,à¤•
30,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_125.jpg,1,ka,à¤•
31,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_126.jpg,1,ka,à¤•
32,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_127.jpg,1,ka,à¤•
33,D:\Nepali_character_Recognisation\Nepali_Character_dataset\01\Img_128.jpg,1,ka,à¤•
