,0
0,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_0.jpg
1,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_1.jpg
2,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_10.jpg
3,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_100.jpg
4,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_101.jpg
5,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_102.jpg
6,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_103.jpg
7,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_104.jpg
8,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_105.jpg
9,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_106.jpg
10,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_107.jpg
11,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_108.jpg
12,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_109.jpg
13,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_11.jpg
14,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_110.jpg
15,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_111.jpg
16,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_112.jpg
17,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_113.jpg
18,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_114.jpg
19,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_115.jpg
20,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_116.jpg
21,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_117.jpg
22,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_118.jpg
23,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_119.jpg
24,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_12.jpg
25,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_120.jpg
26,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_121.jpg
27,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_122.jpg
28,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_123.jpg
29,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_124.jpg
30,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_125.jpg
31,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_126.jpg
32,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_127.jpg
33,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_128.jpg
34,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_129.jpg
35,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_13.jpg
36,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_130.jpg
37,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_131.jpg
38,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_132.jpg
39,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_133.jpg
40,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_134.jpg
41,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_135.jpg
42,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_136.jpg
43,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_137.jpg
44,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_138.jpg
45,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_139.jpg
46,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_14.jpg
47,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_140.jpg
48,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_141.jpg
49,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_142.jpg
50,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_143.jpg
51,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_144.jpg
52,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_145.jpg
53,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_146.jpg
54,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_147.jpg
55,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_148.jpg
56,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_149.jpg
57,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_15.jpg
58,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_150.jpg
59,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_151.jpg
60,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_152.jpg
61,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_153.jpg
62,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_154.jpg
63,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_155.jpg
64,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_156.jpg
65,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_157.jpg
66,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_158.jpg
67,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_159.jpg
68,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_16.jpg
69,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_160.jpg
70,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_161.jpg
71,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_162.jpg
72,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_163.jpg
73,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_164.jpg
74,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_165.jpg
75,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_166.jpg
76,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_167.jpg
77,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_168.jpg
78,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_169.jpg
79,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_17.jpg
80,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_170.jpg
81,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_171.jpg
82,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_172.jpg
83,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_173.jpg
84,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_174.jpg
85,D:\Nepali_character_Recognisation\Nepali_Character_dataset\10\Img_175.jpg
